Entity,Code,Year,Share of global forest area
Afghanistan,AFG,2020,0.029772350488267756
Albania,ALB,2020,0.019436138575514243
Algeria,DZA,2020,0.04801753591542307
Angola,AGO,2020,1.6410068041981696
Argentina,ARG,2020,0.7039533369478622
Armenia,ARM,2020,0.008092519251995391
Australia,AUS,2020,3.301485224268784
Austria,AUT,2020,0.0960634043943673
Azerbaijan,AZE,2020,0.027883430796818043
Bahamas,BHS,2020,0.012561426814693489
Bangladesh,BGD,2020,0.0464013479441292
Belarus,BLR,2020,0.21600746428530698
Belgium,BEL,2020,0.016982292204464403
Belize,BLZ,2020,0.03146269586495179
Benin,BEN,2020,0.07724072741161551
Bhutan,BTN,2020,0.06713782800020579
Bolivia,BOL,2020,1.2523919427993826
Bosnia and Herzegovina,BIH,2020,0.053903564394414204
Botswana,BWA,2020,0.3758302232575702
Brazil,BRA,2020,12.235222924219107
Brunei,BRN,2020,0.009362064467860835
Bulgaria,BGR,2020,0.0959118867720585
Burkina Faso,BFA,2020,0.15315351988950024
Burundi,BDI,2020,0.006889493967875273
Cambodia,KHM,2020,0.19878052655409031
Cameroon,CMR,2020,0.5011286449137735
Canada,CAN,2020,8.547271678717026
Cape Verde,CPV,2020,0.0011264041775542034
Caribbean,,2020,0.19442421013512412
Central African Republic,CAF,2020,0.5494792732281585
Chad,TCD,2020,0.10625943171022048
Chile,CHL,2020,0.4486572300128245
China,CHN,2020,5.419605007059723
Colombia,COL,2020,1.4570799320326933
Congo,COG,2020,0.5406838600307208
Costa Rica,CRI,2020,0.07477012787257055
Croatia,HRV,2020,0.04777387586914111
Cuba,CUB,2020,0.07987319211790743
Cyprus,CYP,2020,0.0042506236385263935
Czechia,CZE,2020,0.06595549780596201
Democratic Republic of Congo,COD,2020,3.1080881311538313
Denmark,DNK,2020,0.015482883668901219
Dominica,DMA,2020,0.0011793737528328898
Dominican Republic,DOM,2020,0.05282421690931688
Ecuador,ECU,2020,0.30790918465359257
Egypt,EGY,2020,0.0011081727888536323
El Salvador,SLV,2020,0.014385058424985747
Equatorial Guinea,GNQ,2020,0.06032175232736796
Eritrea,ERI,2020,0.02599845302724954
Estonia,EST,2020,0.060074889469557524
Eswatini,SWZ,2020,0.012258391570075888
Ethiopia,ETH,2020,0.42051683518337546
Falkland Islands,FLK,2020,0
Fiji,FJI,2020,0.028086686143817655
Finland,FIN,2020,0.5520907964744564
France,FRA,2020,0.42506236385263946
French Guyana,,2020,0.19716630954373704
French Polynesia,PYF,2020,0.0036822477772802116
Gabon,GAB,2020,0.5797236688617003
Gambia,GMB,2020,0.005978663643199444
Georgia,GEO,2020,0.06953550198444847
Germany,DEU,2020,0.28133003725921807
Ghana,GHA,2020,0.196744031162213
Gibraltar,GIB,2020,0
Greece,GRC,2020,0.09612869247552475
Guadeloupe,GLP,2020,0.0017718938856014508
Guatemala,GTM,2020,0.0869144500782091
Guinea,GIN,2020,0.15247846576734395
Guinea-Bissau,GNB,2020,0.048781529650024025
Guyana,GUY,2020,0.4536989480988851
Haiti,HTI,2020,0.008556434183389652
Honduras,HND,2020,0.15667316338918078
Hungary,HUN,2020,0.05058003150832361
Iceland,ISL,2020,0.0012651105537490892
India,IND,2020,1.7778067684232575
Indonesia,IDN,2020,2.2698867316587257
Iran,IRN,2020,0.2648939476054181
Iraq,IRQ,2020,0.020325534699961022
Ireland,IRL,2020,0.019266635934622446
Israel,ISR,2020,0.0034491816460539915
Italy,ITA,2020,0.2356808572840462
Jamaica,JAM,2020,0.014705585947951193
Japan,JPN,2020,0.6143238881739734
